cenario;trades;lucro_liquido;media_trade;winrate;profit_factor;ganhos;perdas
COMPRAS;86;5760,0;66,97674418604652;23,25581395348837;1,1538461538461537;43200,0;-37440,0
VENDAS;81;11520,0;142,22222222222223;25,925925925925924;1,3404255319148937;45360,0;-33840,0
